#Sources are unweighted and reference distance (in meters) is given in last column																									
Freq	25	31.5	40	50	63	80	100	125	160	200	250	315	400	500	630	800	1000	1250	1600	2000	2500	3150	4000	5000	refDist_m
Cessna 182H / Continental O-470-R:Thrust value 244_A	60.5	60.5	60.4	60.3	70	59.5	55.8	63.3	56.6	62.3	54.4	61	51.9	50.6	51.8	49	47.7	45.6	43.5	42.5	41.5	37.5	34.5	30.5	304.8
Cessna 182H / Continental O-470-R:Thrust value 533_D	53.3	53.3	53.3	53.3	52.7	55.5	61.9	66.6	68.7	66	75.9	68.8	68.4	66.7	65.3	64.2	62.8	61.7	60.2	58.2	57	54.6	50.5	46.9	304.8
Cessna 182H / Continental O-470-R:Thrust value 640_D	60.8	60.8	60.8	60.8	60.2	62.9	68.6	71.5	72.1	70.6	72.7	73.7	75.2	75.3	74.8	74.6	73.9	73.9	72.4	68.3	66.4	63	58.2	54.4	304.8
Bell 206B-3:Center_A	56.5	56.5	56.5	56.5	57.5	58.6	67.9	71.3	72.5	70.3	70.2	73.3	72	70.8	75	65.6	63.5	63	58.6	55.5	52.7	47.6	42.8	39.2	304.8
Bell 206B-3:Center_D	55.5	55.5	55.5	55.4	57.5	52	55.4	61.3	66.6	60.6	60.9	65.2	60.4	59.7	57.4	56.1	54.9	54.6	55.8	56.7	51.3	48	41.2	37	304.8
Bell 206B-3:Center_L	66.7	66.6	66.4	65.8	67.7	57.5	57.4	58.7	56.4	60.6	60.3	63.1	64.2	64.1	63.3	59.2	56.7	62.8	53.7	51.1	46.4	41	34	27.2	304.8
Cessna T206H / Lycoming TIO-540-AJ1A:Thrust value 1900_A	63.8	63.8	63.7	63.5	72.5	62.6	58.9	65.9	59.8	66.9	58.3	58.1	54.5	52.7	52.7	50.4	49.3	47.6	46	45.5	45.1	57.1	38.2	34	304.8
Cessna T206H / Lycoming TIO-540-AJ1A:Thrust value 2300_A	70.3	70.2	70.1	69.7	77.4	68.3	64.8	70.5	65.2	69.5	64.1	66.1	62.5	60.8	61.9	59.1	58	56	54.1	53.4	61.7	47.8	44.6	40.4	304.8
Cessna T206H / Lycoming TIO-540-AJ1A:Thrust value 2400_D	50.7	50.7	50.7	50.7	53.1	59.1	77.5	71.2	62.4	73.8	65.6	63.7	63.2	64.6	64.9	65.6	57.8	52	48.7	46.4	43.7	41.9	38.9	37	304.8
Cessna T206H / Lycoming TIO-540-AJ1A:Thrust value 2500_D	55.1	55.1	55.1	55.1	57.5	63.5	81.7	75.6	66.8	79	70.3	68.4	68	69.4	69.5	68.8	61.7	56.2	52.9	50.7	48.1	46.3	43.2	41.4	304.8
